# File = hlsp_m83_autocat_ages_public.data
#
# This cluster catalog was used in Chandar et al. 2010, ApJ, 719, 966.
#
# This file contains the ages, extinctions, and masses estimated for clusters in a single field
# of M83 imaged with the WFC3.  These values are the best currently available
# from this catalog (hence the use of "tentative ages"  in the paper), but
# may change in the future.
#
# The cluster catalog which includes photometry for all of these clusters
# can be found in the file = hlsp_wfc3ers_hst_wfc3_m83_cat_cluster_auto_v1.txt
# available from http://**** .
#
# DESCRIPTION OF METHOD:
#
# The age (in log yrs) and extinction (E(B-V)) is estimated for each cluster by finding the
# minimum chi square between the observed and predicted magnitudes
# for different combinations of age and extinction in the following filters: 
# F336W (~U) , F438W (~B) , F555W (~V), and F814W (~I), and F657N (~Halpha).
# These are given by the 'bestage' and 'bestebv' columns.
# The formal, 1sigma minimum and maximum extinction and age is also given,
# although these values are almost certainly underestimates of the true 
# uncertainties.  These also do not capture the fact that there are
# occassionally two different combinations of age/extinction that give
# nearly equally good fits for some clusters.
#
# The mass for each cluster is estimated from its extinction corrected V band luminosity
# combined with the predicted (age-dependent) mass-to-light ratio in the V 
# band.  Two masses are given in this file.  The first 'mass1' uses a V band luminosity
# for each cluster which has an aperture correction that depends on the measured
# concentration index of the cluster (see Chandar et al. 2010 for details), and
#  the second 'mass2' uses a V band magnitude for each cluster where a mean aperture
# correction of -0.9 magnitudes has been added to each cluster. The 'mass1'
# measurements are preferred.
#
# The results here use predictions from the 2xsolar metallicity, single stellar population
# models from Bruzual & Charlot (private communication).  
# Predictions from the solar metallicity models did not match
# the observations as well as the twice solar model.
# Please see Figures 6 & 7 in Chandar et al. 2010 for a comparison of the photometric
# measurements with Bruzual & Charlot predictions.
#
# The chi square minimization method used to derive the age,
# extinction, and mass for each cluster is also described in Chandar et al. (2010).
# The age-dating assumes a Galactic-type extinction law extinction law
# with R_v = Av/E(B-V) = 3.1.
# 
# Magnitudes in the narrow-band 'Halpha' filter were included directly in the
# SED fit.  The method assumes that this filter contains
# both continuum (from stars) and line (from gas) emission.
# Therefore, we do not perform any continuum subtraction in the 
# observations, and we add together predictions from both the
# stellar and nebular components.  For the latter, we assume
# case B recombination, plus a typical 'leakage' of ionizing photons
# to account for the use of fairly small apertures that miss 
# most of the line emission in clusters with ages between
# approximately 4-8 Myr (see Whitmore et al. 2011, ApJ, 729, 78
# for a discussion of Halpha morphology vs. cluster age). 
#
# We are continuously improving our age-dating techniques,
# so please contact Rupali Chandar prior to quoting any
# ages from this file.  In particular, we are 
# likely to have updated ages for both the central and
# northern ERS fields in late spring 2011.
#
# contact info: Rupali.Chandar@utoledo.edu 
# March 5, 2011
#
#       x          y          id     minebv   bestebv maxebv  minage  bestage maxage         mass1         mass2
     3772.25     1976.72    37647      0.30    0.34    0.38     6.34    6.34    6.36        10875.1        18742.2
     3837.07     2072.70    39661      0.18    0.20    0.22     6.24    6.24    6.24        21439.7        13906.5
      900.98     2635.57    49245      0.20    0.22    0.24     7.36    7.38    7.42        44076.5        70376.5
     1518.48     3565.28    71724      0.00    0.02    0.04     6.64    6.66    6.66         4145.1         6443.1
     3810.64     1903.39    36132      0.20    0.22    0.24     6.34    6.34    6.34         4179.6         7279.5
     3638.10     1932.27    36733      0.28    0.30    0.32     6.74    6.76    6.76        14241.7        22263.8
     1348.75     4091.74    86667      0.00    0.00    0.02     6.64    6.64    6.66         3723.9         5647.8
      894.47     3395.18    66216      0.10    0.12    0.14     7.54    7.57    7.63        33562.0        57040.0
     3901.08     2162.45    41412      0.12    0.14    0.16    10.24   10.30   10.30      3389705.8      5977747.5
     3989.70     2266.63    43374      0.10    0.14    0.16     7.68    7.70    7.81        44972.3        73161.1
      629.78     2830.26    53286      0.00    0.00    0.00     7.38    7.49    7.56        18786.9        32292.4
     3636.82     2027.36    38723      0.20    0.22    0.24     6.54    6.56    6.56         5231.3         8716.5
      633.38     2233.05    42792      0.00    0.00    0.02     7.68    7.72    7.76        32959.5        43842.5
     3822.12     2055.66    39316      0.28    0.30    0.38     6.32    6.48    6.48        14195.0        10831.6
     3706.03     2074.57    39713      0.18    0.20    0.24     9.06    9.06    9.06       618267.2       615938.4
     2857.15     3409.76    66633      0.00    0.00    0.02     7.86    7.86    7.86        30439.6        53339.0
     2479.37     4062.89    85836      0.14    0.16    0.18     6.66    6.66    6.68         9497.4         8514.0
     3762.51     1947.43    37037      0.40    0.42    0.44     6.38    6.38    6.38        14847.4        20140.7
     3832.72     1946.10    37007      0.20    0.24    0.28     6.20    6.22    6.22         6909.4        10267.3
     3047.53     3673.05    74860      0.00    0.00    0.02     6.64    6.64    6.66         2625.8         4308.1
     2875.72     3991.48    83925      0.06    0.08    0.12     7.38    7.49    7.53        23464.0        36039.6
     1718.19     1295.65    22884      0.24    0.26    0.28     7.70    7.76    7.81        54082.5        91915.4
     3962.23     1917.48    36420      0.38    0.42    0.44     6.72    6.74    6.76        15948.9        22041.7
     3676.21     2031.20    38811      0.50    0.50    0.50     6.54    6.54    6.54        11128.7        18856.0
     3811.91     1718.51    32571      0.26    0.28    0.32     6.64    6.66    6.68         5817.1        10215.3
     3791.58     1961.23    37325      0.40    0.42    0.44     6.20    6.22    6.24         9477.5        14898.2
     3092.60     3804.07    78785      0.00    0.00    0.00     7.68    7.70    7.72        20628.6        32601.7
     3594.02      624.04     5990      0.00    0.00    0.00     6.62    6.64    6.64         1797.3         3135.3
     1558.93     1105.84    18407      0.18    0.20    0.22     7.72    7.81    7.86        49282.1        68721.2
      949.76     1365.73    24528      0.16    0.20    0.28     8.06    8.21    8.26       110828.6       121212.9
     3727.36     1882.47    35718      0.28    0.34    0.42     6.32    6.48    6.48         4230.1         7327.1
     3698.15     2032.78    38840      0.36    0.38    0.40     6.48    6.48    6.48        10148.6        12941.1
      622.49     2873.59    54268      0.10    0.12    0.14     7.46    7.53    7.57        24415.9        35484.4
     3701.86     1864.54    35382      0.20    0.24    0.34     6.34    6.48    6.48         4746.9         6500.3
     2434.45     3489.64    69293      0.24    0.26    0.32     6.28    6.46    6.46         4643.4         7132.1
     2882.04     3452.81    68056      0.00    0.00    0.00     6.60    6.62    6.64         1875.3         2844.1
     1153.78     2028.00    38739      0.28    0.30    0.32     7.24    7.30    7.34        27742.0        40626.6
     1302.26      818.42    11368      0.00    0.00    0.02     8.66    8.71    8.76        73382.3       129139.6
     1164.68     3368.72    65479      0.00    0.02    0.04     8.06    8.06    8.06        51123.8        50931.3
     1308.94     3389.99    66069      0.00    0.00    0.02     7.76    7.86    7.86        32820.7        35895.9
      916.71     2757.73    51518      0.08    0.10    0.12     7.63    7.68    7.76        22954.8        37504.4
     3737.83     1996.17    38046      0.38    0.48    0.50     6.30    6.32    6.48         9598.4        14557.4
     3863.72     2178.55    41736      0.50    0.50    0.50     6.76    6.76    6.76        17760.9        28893.4
     3156.97     3536.26    70777      0.00    0.00    0.00     7.38    7.38    7.38        10133.8        16485.7
     3690.52     1841.44    34917      0.16    0.20    0.22     6.52    6.52    6.52         4543.0         4525.9
     2816.55     3415.85    66808      0.00    0.00    0.00     6.58    6.60    6.64         1472.3         2556.4
     3729.52     2029.82    38778      0.20    0.22    0.26     6.46    6.46    6.46         4262.2         6838.8
     3691.19     2104.28    40273      0.02    0.04    0.08     9.06    9.06    9.06       177023.7       284038.4
     3673.81     1856.34    35207      0.24    0.26    0.30     6.50    6.50    6.50         3940.4         5345.3
     1020.99      695.51     8135      0.00    0.00    0.02     7.38    7.49    7.53        11747.1        18565.2
     1516.15      820.73    11431      0.00    0.00    0.00     8.06    8.06    8.06        24981.4        43678.1
     1354.54     4009.12    84377      0.00    0.00    0.00     7.57    7.58    7.59        16300.2        20785.3
     4558.81     2918.72    55236      0.00    0.12    0.18     8.91    9.01    9.11       175386.5       277182.8
     3718.97     1922.32    36531      0.20    0.24    0.26     6.24    6.24    6.26         3260.0         5699.8
     3378.68     3781.35    78154      0.00    0.00    0.00     7.70    7.72    7.74        16242.7        25391.9
      651.83     3530.07    70598      0.00    0.00    0.00     7.38    7.38    7.38         9274.9        15021.3
     3989.28      383.11     1576      0.22    0.24    0.26     6.64    6.64    6.66         3429.9         5955.5
     3671.79     2072.39    39654      0.50    0.50    0.50     6.46    6.46    6.48        13237.7        13622.5
     4315.76     2807.91    52726      0.16    0.18    0.20     6.18    6.20    6.22         3555.3         5526.3
     1685.71      945.68    14507      0.00    0.26    0.30     8.26    8.36    8.91       108514.2       125501.2
     1130.28     3257.35    62506      0.00    0.02    0.04     6.64    6.66    6.70         1635.7         2649.1
     3907.53     2213.36    42425      0.08    0.10    0.14    10.24   10.30   10.30      1552677.2      2646657.2
     3537.59     2784.58    52152      0.50    0.50    0.50     6.06    6.06    6.06        11980.5        20421.7
     1545.11     3301.59    63635      0.26    0.28    0.32     6.62    6.66    6.68         3795.0         6409.9
     3694.60     1973.53    37573      0.22    0.30    0.32     6.26    6.28    6.44         3704.2         6077.5
     3650.29     1867.95    35439      0.36    0.40    0.48     6.32    6.48    6.48         6008.0         5985.4
     3625.77      894.71    13265      0.00    0.00    0.02     6.40    6.40    6.40          893.3         1565.3
     3889.20     2015.00    38448      0.50    0.50    0.50     6.16    6.18    6.18         5201.3         8037.4
     1384.85     4158.78    88333      0.00    0.00    0.00     7.70    7.72    7.86        21239.0        21159.0
     3370.52     2991.03    56664      0.04    0.06    0.08     7.52    7.56    7.63        12225.7        19520.7
     3204.00     2996.88    56782      0.08    0.14    0.16     9.21    9.21    9.44       178845.1       294616.5
     3661.11     3844.22    79942      0.00    0.00    0.00     7.38    7.38    7.46         7831.9        12311.4
     2944.16     2464.98    46572      0.00    0.00    0.08     8.71    8.81    8.86        88350.4       107536.5
     3772.35     1891.54    35894      0.10    0.14    0.18     6.26    6.44    6.44         2715.4         3852.2
     3956.57     3537.45    70823      0.00    0.00    0.00     7.38    7.57    7.59         9661.0        15102.9
     2838.63     3370.35    65518      0.00    0.00    0.00     6.60    6.62    6.64         1172.0         1811.1
     3840.04     1881.12    35693      0.50    0.50    0.50     6.72    6.74    6.74        14026.0        16862.6
     3762.60     1837.81    34831      0.16    0.20    0.22     6.46    6.46    6.46         2324.8         3325.5
     2941.50     3611.85    73124      0.46    0.48    0.50     7.60    7.70    7.76        46109.3        78364.6
     3686.59     2052.56    39262      0.50    0.50    0.50     6.48    6.48    6.48        10196.8        13699.0
     3664.41     2106.71    40323      0.50    0.50    0.50     6.48    6.48    6.48         8352.1         9001.0
     4027.67     2624.36    49076      0.00    0.00    0.02     6.62    6.64    6.66         1058.9         1851.3
     3534.78     2816.91    52941      0.40    0.44    0.46     6.52    6.52    6.52         3843.1         6791.2
      701.52     2825.06    53161      0.06    0.08    0.10     6.64    6.64    6.66         1703.3         2548.9
     3795.37     1821.76    34526      0.42    0.46    0.50     6.50    6.50    6.50         8565.8         5556.1
     3026.62     3967.45    83342      0.10    0.12    0.14     7.26    7.34    7.36        10049.5        14826.3
     3760.64     2070.48    39620      0.50    0.50    0.50     6.82    6.82    6.82        14907.7        18365.0
     3721.56     1625.40    30788      0.34    0.36    0.38     7.81    7.86    7.96        38867.7        66253.0
     2662.32     4004.57    84252      0.18    0.20    0.24     7.48    7.53    7.60        21484.6        25829.6
     1099.31      949.81    14620      0.00    0.02    0.06     6.62    6.64    6.66         1122.4         1983.4
      900.59     2703.28    50397      0.04    0.06    0.08     6.62    6.64    6.64         1374.5         2374.9
     3683.31     1942.00    36923      0.32    0.34    0.40     6.18    6.18    6.22         3806.5         5950.6
     3414.12     3008.55    57027      0.12    0.14    0.16     6.62    6.64    6.64         1733.6         3057.2
     3848.62     2238.06    42873      0.02    0.04    0.08    10.24   10.30   10.30      1029348.4      1815252.4
      923.20     1598.52    30216      0.28    0.30    0.32     8.01    8.06    8.06        39140.7        67961.7
     3613.90     1908.41    36232      0.50    0.50    0.50     6.50    6.50    6.50         5274.8         9242.9
     1486.05     3123.73    59589      0.28    0.30    0.34     6.64    6.66    6.68         3030.0         5030.1
     3919.79     2121.90    40615      0.50    0.50    0.50     6.48    6.48    6.50         4918.2         8133.7
     1029.98     1712.60    32461      0.38    0.40    0.42     6.32    6.34    6.34         3363.9         5605.1
     4005.61     1937.25    36832      0.26    0.28    0.32     7.86    7.96    8.01        30894.3        53103.7
     3743.33     1827.18    34642      0.48    0.50    0.50     6.52    6.54    6.56         6130.3         8909.4
     2820.58     3536.05    70769      0.06    0.08    0.10     6.62    6.64    6.66         1553.7         2185.5
     2314.00     2998.75    56826      0.02    0.06    0.14     9.93   10.27   10.30       975260.4      1459413.9
     3799.25     1220.22    21144      0.10    0.12    0.16     6.62    6.64    6.66         1485.9         2517.7
     3974.53     2189.21    41959      0.24    0.26    0.28     6.52    6.52    6.52         1910.0         3226.0
     1376.84     4052.79    85548      0.00    0.00    0.00     7.57    7.58    7.70         9498.1        13006.4
      304.96     1582.36    29861      0.00    0.00    0.00     7.72    7.86    7.86        11643.9        18682.9
     3738.08     2088.93    39985      0.50    0.50    0.50     6.80    6.82    6.82         9989.5        17170.8
     3841.95     1914.13    36350      0.38    0.44    0.50     6.16    6.18    6.18         4341.9         7180.6
     3953.74     1501.72    27970      0.10    0.14    0.16     9.06    9.06    9.06       130298.8       203693.4
     3668.32     1990.61    37922      0.48    0.50    0.50     6.50    6.50    6.50        10651.0         9904.0
     4055.87     1409.68    25607      0.48    0.50    0.50     6.60    6.60    6.62         5374.7         8987.4
     4050.44     2055.43    39307      0.00    0.02    0.06     8.46    8.51    8.66        29988.1        52884.0
     1161.59     3161.47    60417      0.00    0.00    0.00     7.86    7.86    7.86        12214.7        17613.5
     2969.00     3811.53    78982      0.00    0.00    0.00     6.40    6.40    6.40          704.0         1087.9
     2403.61     4146.02    88047      0.00    0.00    0.00     7.57    7.58    7.60         6968.7        11234.6
     2468.25     2957.69    55985      0.00    0.00    0.08     8.96    9.06    9.06        85772.6       120652.7
     3879.30     1942.42    36932      0.22    0.28    0.30     6.20    6.24    6.24         2171.8         3723.1
     2906.94     3475.52    68824      0.08    0.12    0.14     6.66    6.68    6.72         1325.8         2307.6
     3370.50      959.29    14865      0.00    0.00    0.02     6.70    6.72    6.74          962.1         1619.8
     3965.25     1519.02    28423      0.50    0.50    0.50    10.28   10.30   10.30      1704768.0      2870102.0
     1594.54     3092.57    58911      0.14    0.16    0.18     9.21    9.21    9.28       139256.3       200806.4
     3744.33     1862.96    35344      0.46    0.50    0.50     6.00    6.02    6.04         3269.2         5406.7
     3865.69     1822.63    34549      0.28    0.30    0.34     6.52    6.52    6.56         2897.4         3611.6
     3084.88     1054.37    17159      0.02    0.08    0.10     7.96    8.01    8.16        26265.3        26598.5
     1750.00     2057.66    39360      0.00    0.02    0.06     7.57    7.68    7.76        12334.1        13292.4
     1059.10     4631.35    97333      0.00    0.04    0.06     7.63    7.72    7.81        10333.9        14782.0
     1506.24     3107.05    59214      0.40    0.50    0.50     6.34    6.34    6.48         4071.1         6978.8
     3654.04     2082.27    39855      0.50    0.50    0.50     6.46    6.46    6.46         6168.2         6746.2
     3895.58     2037.97    38946      0.50    0.50    0.50     6.82    6.82    6.84        21580.0        15402.5
     3942.31     2154.03    41244      0.50    0.50    0.50     6.48    6.48    6.48         4420.5         7535.1
     2246.14     4291.54    91109      0.08    0.10    0.14     6.64    6.66    6.68         1271.6         1998.8
     2593.12     4447.80    94475      0.10    0.12    0.16     7.22    7.28    7.34         5881.4         9436.9
     3594.49     2069.94    39611      0.22    0.26    0.28     6.46    6.46    6.46         2916.5         3718.9
     3806.17     1869.99    35473      0.38    0.42    0.46     6.48    6.48    6.48         9346.9         6671.3
     3633.10     1999.15    38106      0.50    0.50    0.50     6.46    6.46    6.46         3843.1         6777.3
      994.11     3429.41    67227      0.18    0.22    0.26     7.36    7.38    7.51         9634.3        15740.8
     1270.96     1090.79    18032      0.04    0.08    0.10     7.65    7.72    7.81        12225.9        16098.1
     3833.75     2124.88    40664      0.50    0.50    0.50     6.06    6.06    6.06        13691.8        11129.9
     2708.96      772.31    10114      0.00    0.00    0.00     6.58    6.60    6.64          671.7         1110.8
      965.19     4613.02    97129      0.24    0.26    0.30     7.08    7.14    7.20         6918.7        10754.4
     3779.66     1208.44    20851      0.24    0.26    0.30     6.60    6.62    6.64         1841.0         3204.1
     3601.81     1944.86    36979      0.50    0.50    0.50     6.50    6.50    6.50         4484.8         7823.6
     3634.00     2139.94    40962      0.08    0.12    0.16     9.06    9.06    9.06       120911.6       170081.5
      433.45     1091.03    18044      0.00    0.00    0.06     8.36    8.51    8.56        41846.0        38212.4
     3851.91     3595.62    72664      0.00    0.00    0.00     7.70    7.86    7.86        15264.9        13939.4
     3604.54     2104.11    40269      0.50    0.50    0.50     6.48    6.48    6.48         3882.6         4951.0
     3481.26     3784.99    78261      0.00    0.00    0.00     7.38    7.38    7.40         4014.8         7019.5
     3742.23     3680.35    75082      0.00    0.00    0.00     7.24    7.24    7.40         3485.9         5509.1
      828.98     3411.97    66685      0.00    0.00    0.06     8.21    8.36    8.41        17013.9        28137.7
      887.84     2880.69    54416      0.28    0.32    0.36     7.86    7.91    8.01        39573.7        42010.4
     3681.59     2142.69    41013      0.50    0.50    0.50     6.46    6.46    6.46         4558.3         6821.1
     1730.87     4467.62    94866      0.00    0.00    0.00     8.36    8.36    8.41        35430.2        29983.9
      919.23     2645.40    49402      0.00    0.00    0.02     6.54    6.58    6.60          602.0         1047.7
     1297.22      665.68     7266      0.06    0.10    0.12     6.58    6.62    6.68          896.4         1567.3
     1061.62      753.97     9654      0.20    0.24    0.28     6.64    6.66    6.70         1604.0         2717.8
     2575.73     3724.12    76456      0.00    0.00    0.04     6.70    6.72    6.74          836.2         1321.5
      917.53     3387.44    66000      0.00    0.02    0.04     7.34    7.38    7.48         3995.1         6902.9
      911.34     2668.18    49771      0.00    0.00    0.00     6.78    6.80    6.80          874.4         1486.1
     2027.33     4296.92    91192      0.14    0.18    0.22     6.60    6.64    6.64         1275.8         2209.8
     1112.83     2339.87    44634      0.02    0.04    0.08     6.60    6.64    6.66          772.1         1304.1
      934.09     1495.87    27831      0.14    0.18    0.22     6.68    6.70    6.74         1360.1         2318.5
     1346.04      830.00    11675      0.16    0.20    0.24     7.81    7.91    8.01        17051.2        25860.5
     1361.43     3384.83    65930      0.00    0.00    0.00     8.06    8.06    8.06        10636.6        18512.5
     2662.41     3467.34    68548      0.04    0.12    0.14     6.30    6.32    6.48          869.3         1414.2
     3316.44     2841.30    53548      0.24    0.26    0.30     6.60    6.62    6.64         1583.8         2775.3
     1142.32     1540.14    28940      0.04    0.08    0.10     7.72    7.86    7.91         9191.3        16140.8
     1904.47     3697.60    75637      0.06    0.10    0.12     7.36    7.38    7.48         5058.3         8739.9
     1761.55     2318.53    44297      0.22    0.24    0.28     6.60    6.62    6.64         1486.1         2609.7
     1417.84     1354.67    24265      0.00    0.00    0.04     7.81    7.86    7.91         8173.1        12230.5
     3714.22     1827.52    34646      0.50    0.50    0.50     6.44    6.46    6.46         2526.5         4209.8
     1696.36     3898.11    81476      0.00    0.00    0.02     7.54    7.58    7.72         4993.7         8320.6
      710.08     2903.18    54907      0.00    0.14    0.20     6.72    6.76    7.40         2077.2         2304.8
     1584.32     3643.10    73966      0.00    0.00    0.02     7.91    8.01    8.06        10086.0        15093.0
     4250.91      827.52    11615      0.12    0.16    0.18     6.62    6.64    6.66         1067.6         1835.0
     3485.82     4067.40    85964      0.00    0.02    0.06     8.06    8.06    8.21        13110.5        17083.8
     3822.49     1772.48    33588      0.26    0.30    0.32     6.74    6.76    6.78         2972.9         4032.7
     3638.09     2095.12    40103      0.50    0.50    0.50     6.16    6.16    6.16         3968.6         6057.8
     1690.45     4415.62    93801      0.22    0.30    0.32     6.32    6.34    6.48         1480.5         2564.4
     3576.64     1494.95    27809      0.24    0.28    0.32     7.36    7.42    7.56         9564.4        15346.4
     2589.96     1282.95    22585      0.04    0.06    0.12     7.86    8.01    8.06        10598.8        17723.0
     3466.21     2114.62    40490      0.00    0.00    0.00     9.06    9.06    9.06        48613.6        81571.2
     2678.61     4443.16    94385      0.00    0.02    0.06     6.58    6.62    6.66          624.9         1033.4
     3785.85     1870.83    35492      0.12    0.18    0.22     5.90    6.00    6.02         1306.0         2250.8
     3900.91     1899.72    36056      0.50    0.50    0.50     6.50    6.50    6.50         3612.4         5442.6
     3385.62     2480.65    46824      0.12    0.50    0.50     6.66    6.68    7.91         4576.3         5899.8
     1831.67     3497.11    69552      0.00    0.02    0.06     7.53    7.59    7.70         4803.5         8320.3
     4343.29     3088.31    58824      0.26    0.28    0.34     7.34    7.46    7.53         9866.1        15246.0
     3995.38     1970.44    37513      0.48    0.50    0.50     6.50    6.50    6.50         2661.6         4683.9
      974.29     3406.74    66553      0.04    0.08    0.14     8.96    9.06    9.06       117706.3       109450.3
     2122.77     2050.26    39209      0.00    0.06    0.14     8.96    9.06    9.11        61719.8        90385.1
     2895.12     3893.21    81345      0.48    0.50    0.50     7.81    7.96    8.11        59280.8        56110.6
      682.67     2897.76    54774      0.06    0.10    0.14     7.36    7.48    7.57         7365.3         8854.9
     1142.33     2697.32    50287      0.50    0.50    0.50     6.70    6.72    6.72         4430.4         7268.9
     1293.41     1171.35    19990      0.08    0.12    0.16     7.81    7.91    8.01        13614.2        17740.1
      805.14     1815.77    34392      0.00    0.00    0.00     7.68    7.72    7.86         6555.0         8976.3
     3983.26     2810.86    52799      0.00    0.00    0.00     7.91    8.06    8.06        10586.9        13940.0
